SNe Name,SNe Type,Galaxy,SNe Ra,SNe Dec,Discovery Date
AT2020juh,Candidate,eso097-013,213.337875,-65.34130138888888,2020/05/12
SN1996cr,II,eso097-013,213.29176388888888,-65.34570462962962,1996/03/16
AT2019twu,Candidate,ic0010,5.083341666666666,59.311458333333334,2019/06/07
iPTF14ew,Unclassified,ic0010,5.087229166666667,59.29982777777778,2014/01/26
AT2020pmm,Candidate,ic0342,56.2559125,67.78829444444445,2020/07/16
AT2020tge,Candidate,ic0342,56.28022083333334,68.24460555555555,2020/09/14
AT2013ko,Candidate,ngc0247,12.085154166666667,-20.908402777777777,2013/10/21
AT2019npi,Candidate,ngc0247,11.745254166666667,-20.708269444444444,2019/08/15
AT2020vze,Candidate,ngc0247,11.764587500000001,-20.448469444444445,2020/08/22
AT2021vwz,Candidate,ngc0247,11.500254166666668,-21.00818611111111,2021/08/10
AT2021wtu,Candidate,ngc0247,11.784179166666668,-20.778841666666665,2021/08/21
SN2021vtq,Ia,ngc0247,11.912275000000001,-20.523480555555555,2021/08/12
AT2019npd,Candidate,ngc0253,11.736295833333333,-25.376786111111112,2019/08/15
AT2019nzl,Candidate,ngc0253,12.019158333333335,-25.001175,2019/08/18
AT2019oaq,Candidate,ngc0253,11.8432875,-25.465208333333333,2019/08/21
AT2019odc,Candidate,ngc0253,11.507037500000001,-25.45915,2019/08/17
AT2019oer,Candidate,ngc0253,11.866800000000001,-25.43741111111111,2019/08/16
AT2019okr,Candidate,ngc0253,11.848733333333334,-25.45855,2019/08/17
AT2019onj,Candidate,ngc0253,11.858358333333333,-25.448647222222224,2019/08/17
AT2019paw,Candidate,ngc0253,12.142791666666668,-25.090502777777775,2019/08/21
AT2019pay,Candidate,ngc0253,12.169829166666668,-25.248444444444445,2019/08/21
AT2019pba,Candidate,ngc0253,12.275333333333332,-25.729369444444444,2019/08/31
AT2019pbw,Candidate,ngc0253,11.680804166666668,-25.400558333333333,2019/08/18
AT2019pch,Candidate,ngc0253,12.198491666666667,-25.095813888888888,2019/08/31
AT2019pck,Candidate,ngc0253,11.851433333333333,-25.226055555555554,2019/08/18
AT2019zza,Candidate,ngc0253,11.545475,-25.588366666666666,2019/08/21
AT2020hol,Candidate,ngc0253,11.853916666666667,-25.357111111111113,2020/04/17
AT2021yrg,Candidate,ngc0253,11.687841666666667,-25.729333333333333,2021/09/10
PS19epf,II P,ngc0253,12.199508333333334,-25.306516666666667,2019/08/15
SN1940E,I,ngc0253,11.878291666666666,-25.293444444444447,1940/11/22
SN2017ilt,Ia,ngc0253,12.305727083333334,-25.696781944444446,2017/11/22
SN2021twb,Ia,ngc0253,11.782474999999998,-25.661994444444446,2021/07/20
SN2019qyl,IIn/LBV,ngc0300,13.739875,-37.644441666666665,2019/09/26
SN2020acli,IIn-pec,ngc0300,13.78715,-37.738847222222226,2020-12-12 13:14:45.888
AT2019gc,Candidate,ngc0598,23.48720833333333,30.542555555555555,2019/01/06
AT2019kkf,Candidate,ngc0598,23.5454625,30.576991666666668,2019/06/23
AT2019kqn,Candidate,ngc0598,22.591991666666665,30.253844444444443,2019/06/17
AT2019nmu,Candidate,ngc0598,23.285770833333334,30.382891666666666,2019/08/05
AT2020aafy,Candidate,ngc0598,23.566920833333334,30.611658333333335,2020/07/06
AT2020aesz,Candidate,ngc0598,24.4827625,30.617733333333334,2020/12/30
AT2021bkf,Candidate,ngc0598,22.913212499999997,31.692825,2021/01/31
AT2021ctl,Candidate,ngc0598,22.862949999999998,31.553486111111113,2021/02/12
AT2021vgr,Candidate,ngc0598,24.188879166666666,29.63303611111111,2021/08/02
AT2021zel,Candidate,ngc0598,23.648779166666667,30.731333333333332,2021/09/15
GRB911123B,LGRB,ngc0598,22.81,30.34,1991/11/23
Gaia21duh,Unclassified,ngc0598,23.410700000000002,30.5935,2021/08/12
PS1-13eow,Unclassified,ngc0598,22.434,31.308611111111112,2013/12/25
PS1-14ajo,Unclassified,ngc0598,23.460291666666667,30.598916666666664,2014/12/22
PS1-14alm,Unclassified,ngc0598,23.0245,30.86863888888889,2014/12/22
PS1-14amp,Unclassified,ngc0598,23.659875,31.08513888888889,2014/12/22
PS15cab,Unclassified,ngc0598,23.494541666666667,30.826638888888887,2015/09/10
PS15caq,Unclassified,ngc0598,23.455916666666667,30.711055555555554,2015/09/10
PS15dfl,Unclassified,ngc0598,23.447000000000003,30.4475,2015/12/06
PS16yg,Unclassified,ngc0598,23.475666666666665,30.436305555555556,2016/01/23
PTF10zbn,Ia,ngc0598,22.561979166666667,29.678486111111113,2010/10/28
PTF12lz,Ia,ngc0598,24.320416666666667,30.12063888888889,2012/01/06
PTSS-16npu,Unclassified,ngc0598,24.140194166666667,30.18346,2016/09/08
SN2019rzk,Ia,ngc0598,22.305454166666667,29.677172222222225,2019/09/30
SN2020aaez,Ia,ngc0598,24.478545833333335,30.106875000000002,2020/11/15
SN2021agnl,Ic-BL,ngc0598,23.2735625,29.773425,2021-12-24 15:15:36.576
M74SNRJ013642400+15441630,Unclassified,ngc0628,24.17666666666667,15.73786111111111,2003/06/18
PS15blm,Unclassified,ngc0628,24.258708333333335,15.777000000000001,2015/07/25
SN2002ap,Ic BL,ngc0628,24.09940416666667,15.753649074074074,2002/01/29
SN2003gd,II P,ngc0628,24.17770555555555,15.738966666666665,2003/06/12
SN2013ej,II,ngc0628,24.200666666666667,15.758611111111112,2013/07/25
SN2019krl,IIn/LBV,ngc0628,24.2067875,15.77946388888889,2019/07/06
AT2017kfn,Candidate,ngc0685,26.931416666666664,-52.743722222222225,2017/02/15
AT2020vp,Candidate,ngc0891,35.837208333333336,42.19393055555555,2020/01/13
SN1986J,II,ngc0891,35.63045972222222,42.33252277777778,1986/08/21
SN2018ivc,II,ngc1068,40.672,-0.008820833333333333,2018/11/24
SN1995V,II,ngc1087,41.61152777777777,-0.4987861111111111,1995/08/01
SN1992bd,II,ngc1097,41.579177083333335,-30.275555555555556,1992/10/12
SN1999eu,II,ngc1097,41.58662291666667,-30.318361111111113,1999/11/05
SN2003B,II P,ngc1097,41.557421874999996,-30.22920069444444,2003/01/05
SN1962M,II,ngc1313,49.55428124999999,-66.53022222222222,1962/11/26
SN1978K,II,ngc1313,49.41127083333333,-66.55104166666666,1978/07/31
LSQ14dtr,Ia,ngc1300,49.96679166666666,-19.478694444444443,2014/08/02
SN1957C,Unclassified,ngc1365,53.38349999999999,-36.11770833333333,1957/10/01
SN1983V,Ic,ngc1365,53.381876388888884,-36.14859166666667,1983/11/25
SN2001du,II,ngc1365,53.3713125,-36.142111111111106,2001/08/24
SN2012fr,Ia,ngc1365,53.40057916666666,-36.12676944444445,2012/10/27
SN1985P,II,ngc1433,55.52640625,-47.209987222222225,1985/10/10
SN1935C,Unclassified,ngc1511,59.937302083333336,-67.6374375,1935/08/16
SN2010iv,Ia,ngc1512,60.967625,-43.42736111111111,2010/10/15
SN1984J,II,ngc1559,64.39805208333334,-62.78548611111111,1984/07/27
SN1986L,II P,ngc1559,64.37396916666667,-62.78464944444445,1986/10/07
SN2005df,Ia,ngc1559,64.40770833333333,-62.76930833333333,2005/08/04
SN2009ib,II P,ngc1559,64.4166875,-62.77763888888889,2009/08/06
ASASSN-14ha,II,ngc1566,65.0058875,-54.93807777777778,2014/09/10
SN2010el,Ia-02cx,ngc1566,64.99512499999999,-54.94402777777778,2010/06/19
SN2021aefx,Ia,ngc1566,64.9725,-54.94808055555555,2021-11-11 12:30:43.776
SN1999em,II P,ngc1637,70.36285749999999,-2.862636,1999/10/29
SN2017gax,Ib/c,ngc1672,71.45607916666667,-59.24512777777778,2017/08/14
SN2022aau,II,ngc1672,71.423975,-59.245383333333336,2022-01-20 14:18:48.096
AT2019aabm,Candidate,ngc2403,114.23713749999999,65.5845375,2019/12/19
SN1954J,II Pec?,ngc2403,114.23183472222222,65.6311574074074,1954/11/26
SN2002kg,IIn,ngc2403,114.257625,65.57480555555556,2002/10/26
SN2004dj,II P,ngc2403,114.3209513888889,65.5993925925926,2004/07/31
SN1993Z,Ia,ngc2775,137.58164027777775,7.0278350000000005,1993/09/23
AT2019bia,Candidate,ngc2903,143.18375,21.460472222222222,2019/02/27
SN2003jg,Ic,ngc2997,146.40863888888887,-31.18906574074074,2003/10/24
SN2008eh,Unclassified,ngc2997,146.45066666666668,-31.17913888888889,2008/07/21
AT2017dbo,Candidate,ngc3031,148.855875,69.08988888888888,2017/04/07
AT2017dfw,Candidate,ngc3031,149.03475,68.94275,2017/04/07
Gaia17cjg,Unclassified,ngc3031,148.89899999999997,69.073,2017/09/18
Gaia20fla,Unclassified,ngc3031,148.91899999999998,69.05669999999999,2020/11/25
PSNJ09544202+6859570,Unclassified,ngc3031,148.67508333333333,68.99916666666667,2011/06/12
PTF11qij,Unclassified,ngc3031,148.886,69.10199999999999,2011
Probablesupernova,Unclassified,ngc3031,148.51186666666666,69.21185833333334,2003/06/03
SN1993J,IIb,ngc3031,148.85388093749998,69.02036066666668,1993/03/28
AT2019sfe,Candidate,ngc3184,154.51353333333336,41.425444444444445,2019/10/08
PTSS-16cvi,Unclassified,ngc3184,154.58056,41.427901,2016/04/09
SN1921B,II,ngc3184,154.58003125000002,41.37374305555556,1921/04/06
SN1921C,I,ngc3184,154.59708333333333,41.352493055555556,1921/12/05
SN1937F,II,ngc3184,154.5696041666667,41.37686805555556,1937/12/09
SN1999gi,II,ngc3184,154.5693625,41.441204629629624,1999/12/09
SN2010dn,LRT,ngc3184,154.58287500000003,41.44133333333333,2010/05/31
SN2016bkv,II,ngc3184,154.58045833333335,41.42758333333333,2016/03/21
AT2019zby,Candidate,ngc3239,156.32500833333333,17.139525,2019/12/20
SN2012A,II P,ngc3239,156.28079166666666,17.154055555555555,2012/01/07
SN2012fh,IIb/Ib/Ic,ngc3344,160.891875,24.891388888888887,2012/10/18
