"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"21656","AT 2017fuc","21:29:35.767","-11:25:58.82","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyd","PS1 - GPC1","","1","1","","21.23","w-P1","2017-07-26 11:05:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21655","AT 2017fub","20:35:48.926","-18:28:52.04","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dya","PS1 - GPC1","","1","1","","18.66","w-P1","2017-07-26 09:53:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21654","AT 2017fua","20:37:38.512","-18:45:17.02","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyb","PS1 - GPC1","","1","1","","20.02","w-P1","2017-07-26 09:53:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21653","AT 2017ftz","23:53:04.734","-11:04:57.36","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxy","PS1 - GPC1","","1","1","","22.26","w-P1","2017-07-25 13:22:04.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21652","AT 2017fty","20:23:28.504","-24:28:45.01","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxz","PS1 - GPC1","","1","1","","20.54","w-P1","2017-07-26 09:56:09.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21651","AT 2017ftx","23:20:40.988","-08:05:29.91","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxw","PS1 - GPC1","","1","1","","22.08","w-P1","2017-07-25 13:26:24.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21650","AT 2017ftw","23:32:41.770","-12:21:26.67","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxx","PS1 - GPC1","","1","1","","20.41","w-P1","2017-07-25 13:33:35.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21649","AT 2017ftv","23:19:20.259","-12:12:18.83","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxu","PS1 - GPC1","","1","1","","21.81","w-P1","2017-07-25 13:30:43.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21648","AT 2017ftu","23:19:44.646","-10:11:22.75","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxv","PS1 - GPC1","","1","1","","21.14","w-P1","2017-07-25 13:26:24.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21647","AT 2017ftt","23:17:10.525","-09:16:44.41","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxs","PS1 - GPC1","","1","1","","20.43","w-P1","2017-07-25 13:26:24.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21646","AT 2017fts","23:18:04.478","-15:24:32.89","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxt","PS1 - GPC1","","1","1","","20.48","w-P1","2017-07-25 13:32:09.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21645","AT 2017ftr","23:00:38.050","-16:24:31.46","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxq","PS1 - GPC1","","1","1","","20.44","w-P1","2017-07-25 13:29:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21644","AT 2017ftq","23:04:40.275","-14:33:48.12","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxr","PS1 - GPC1","","1","1","","21.71","w-P1","2017-07-25 13:29:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21643","AT 2017ftp","22:56:49.908","-05:21:23.78","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxo","PS1 - GPC1","","1","1","","20.43","w-P1","2017-07-25 12:30:14.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21642","AT 2017fto","22:57:51.125","-02:15:20.84","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxp","PS1 - GPC1","","1","1","","20.84","w-P1","2017-07-25 12:28:48.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21641","AT 2017ftn","22:39:12.681","-07:19:02.88","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxm","PS1 - GPC1","","1","1","","20.83","w-P1","2017-07-25 12:33:07.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21640","AT 2017ftm","22:54:14.595","-00:37:12.55","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxn","PS1 - GPC1","","1","1","","21.31","w-P1","2017-07-25 12:28:48.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21639","AT 2017ftl","21:15:21.145","-18:14:49.99","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxl","PS1 - GPC1","","1","1","","20.7","w-P1","2017-07-25 11:08:09.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21638","AT 2017ftk","23:19:31.359","+06:03:39.78","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyn","PS1 - GPC1","","1","1","","19.28","w-P1","2017-07-27 12:10:04.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21637","AT 2017ftj","22:59:39.196","+03:24:36.61","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dym","PS1 - GPC1","","1","1","","22.18","w-P1","2017-07-26 12:14:24.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21636","AT 2017fti","21:53:40.614","-12:23:12.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyh","PS1 - GPC1","","1","1","","19.82","w-P1","2017-07-26 11:08:09.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21635","AT 2017fth","21:42:18.658","-11:10:07.29","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyg","PS1 - GPC1","","1","1","","20.41","w-P1","2017-07-26 11:11:02.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21634","AT 2017ftg","21:35:49.755","-10:17:52.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyf","PS1 - GPC1","","1","1","","21.34","w-P1","2017-07-26 11:05:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21633","AT 2017ftf","21:31:15.436","-13:17:32.20","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dye","PS1 - GPC1","","1","1","","20.14","w-P1","2017-07-26 11:05:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21632","AT 2017fte","22:47:51.969","+00:51:11.19","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyl","PS1 - GPC1","","1","1","","21.47","w-P1","2017-07-26 12:17:16.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21631","AT 2017ftd","22:08:53.782","+04:08:30.15","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyk","PS1 - GPC1","","1","1","","21.91","w-P1","2017-07-26 12:01:26.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21630","AT 2017ftc","22:02:35.596","+01:52:25.65","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyj","PS1 - GPC1","","1","1","","21.96","w-P1","2017-07-26 12:05:45.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21629","AT 2017ftb","21:57:36.631","-09:49:50.06","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dyi","PS1 - GPC1","","1","1","","21.49","w-P1","2017-07-26 11:09:36.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21628","AT 2017fta","23:20:31.872","+00:48:01.25","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dxa","PS1 - GPC1","","1","1","","20.13","w-P1","2017-07-27 12:04:19.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21627","AT 2017fsz","23:17:20.395","+05:39:45.72","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwy","PS1 - GPC1","","1","1","","19.79","w-P1","2017-07-27 12:10:04.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21626","AT 2017fsy","23:17:20.924","+02:53:09.67","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwz","PS1 - GPC1","","1","1","","19.31","w-P1","2017-07-27 12:04:19.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21625","AT 2017fsx","21:51:54.368","-03:53:55.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dww","PS1 - GPC1","","1","1","","20.66","w-P1","2017-07-27 10:59:31.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21624","AT 2017fsw","21:57:04.569","-06:33:56.80","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwx","PS1 - GPC1","","1","1","","21.5","w-P1","2017-07-27 11:15:21.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21623","AT 2017fsv","21:47:26.418","-05:58:00.89","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwu","PS1 - GPC1","","1","1","","20.76","w-P1","2017-07-27 10:56:38.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21622","AT 2017fsu","21:50:34.373","-06:47:16.45","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwv","PS1 - GPC1","","1","1","","21.05","w-P1","2017-07-27 10:56:38.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21621","AT 2017fst","21:35:15.362","-06:05:33.15","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dws","PS1 - GPC1","","1","1","","20.11","w-P1","2017-07-27 10:56:38.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21620","AT 2017fss","21:43:44.845","-07:35:59.71","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwt","PS1 - GPC1","","1","1","","20.17","w-P1","2017-07-27 10:56:38.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21619","AT 2017fsr","21:27:17.683","-05:36:46.02","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwq","PS1 - GPC1","","1","1","","21.51","w-P1","2017-07-27 10:53:45.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21618","AT 2017fsq","21:32:17.192","-06:16:23.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwr","PS1 - GPC1","","1","1","","21.34","w-P1","2017-07-27 10:53:45.000","PS1_Bot1","","2017TNSTR.816....1C","",""
"21617","AT 2017fsp","21:26:23.266","-06:08:41.36","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS17dwo","PS1 - GPC1","","1","1","","19.51","w-P1","2017-07-27 10:53:45.000","PS1_Bot1","","2017TNSTR.816....1C","",""
