"111399","AT 2022nwe","21:38:20.963","-00:12:49.27","","","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","","ATLAS; Pan-STARRS; ZTF","PS22fuc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","","1","1","","22.37","w-P1","2022-06-04 13:00:38.304","PS2_Bot1","","2022TNSTR1817....1C","",""
"111398","AT 2022nwd","00:50:17.201","+10:27:38.94","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fub","PS2 - GPC2","","1","1","","21.36","w-P1","2022-06-28 13:57:24.192","PS2_Bot1","","2022TNSTR1817....1C","",""
"111397","AT 2022nwc","22:12:46.276","+05:02:57.86","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fua","PS2 - GPC2","","1","1","","20.89","w-P1","2022-06-28 12:46:59.232","PS2_Bot1","","2022TNSTR1817....1C","",""
"111396","AT 2022nwb","02:39:26.440","-45:24:41.22","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS22sdu","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","17.899","cyan-ATLAS","2022-06-28 04:08:25.728","ATLAS_Bot1","","2022TNSTR1810....1T","",""
"111395","AT 2022nwa","21:59:40.277","+00:27:47.00","","","","","Pan-STARRS, ALeRCE","Pan-STARRS, ZTF","","ALeRCE; Pan-STARRS","PS22ftz","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","","1","1","","21.1","w-P1","2022-06-28 11:47:28.320","PS2_Bot1","","2022TNSTR1817....1C","",""
"111394","AT 2022nvz","22:50:05.392","+06:38:59.69","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fty","PS2 - GPC2","","1","1","","20.68","w-P1","2022-06-28 13:00:47.808","PS2_Bot1","","2022TNSTR1817....1C","",""
"111393","AT 2022nvy","22:56:40.029","+01:58:37.26","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftx","PS2 - GPC2","","1","1","","20.79","w-P1","2022-06-28 12:58:03.648","PS2_Bot1","","2022TNSTR1817....1C","",""
"111392","AT 2022nvx","23:00:58.418","+06:04:47.65","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftw","PS2 - GPC2","","1","1","","21.34","w-P1","2022-06-28 12:59:54.240","PS2_Bot1","","2022TNSTR1817....1C","",""
"111391","AT 2022nvw","22:54:41.639","+06:56:45.82","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftv","PS2 - GPC2","","1","1","","19.94","w-P1","2022-06-28 12:59:54.240","PS2_Bot1","","2022TNSTR1817....1C","",""
"111390","AT 2022nvv","22:29:05.765","+04:43:49.32","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftu","PS2 - GPC2","","1","1","","20.2","w-P1","2022-06-28 12:52:37.056","PS2_Bot1","","2022TNSTR1817....1C","",""
"111389","AT 2022nvu","22:49:49.454","+04:53:29.22","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fts","PS2 - GPC2","","1","1","","20.5","w-P1","2022-06-28 12:58:58.944","PS2_Bot1","","2022TNSTR1817....1C","",""
"111388","AT 2022nvt","22:30:18.201","+01:10:47.41","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftp","PS2 - GPC2","","1","1","","19.62","w-P1","2022-06-28 12:56:13.920","PS2_Bot1","","2022TNSTR1817....1C","",""
"111387","AT 2022nvs","22:42:39.595","+05:05:08.69","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22fto","PS2 - GPC2","","1","1","","21.44","w-P1","2022-06-28 12:55:20.352","PS2_Bot1","","2022TNSTR1817....1C","",""
"111386","AT 2022nvr","22:44:47.961","+01:59:47.31","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftn","PS2 - GPC2","","1","1","","21.69","w-P1","2022-06-28 12:57:09.216","PS2_Bot1","","2022TNSTR1817....1C","",""
"111385","AT 2022nvq","22:35:54.421","+05:04:24.09","","","","","Pan-STARRS","Pan-STARRS","","Pan-STARRS","PS22ftm","PS2 - GPC2","","1","1","","21.3","w-P1","2022-06-28 12:52:37.056","PS2_Bot1","","2022TNSTR1817....1C","",""
"111383","AT 2022nvp","12:13:46.580","-07:11:59.68","","","","","GaiaAlerts, ATLAS","GaiaAlerts, ATLAS","","ATLAS; GaiaAlerts","Gaia22crx","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","","1","1","","17.92","G-Gaia","2022-06-27 18:12:57.600","Gaia_Bot1","","2022TNSTR1812....1H","",""
"111381","AT 2022nvn","11:22:09.470","+19:22:04.84","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia22crt","Gaia - Gaia-photometric","","1","1","","17.35","G-Gaia","2022-06-27 06:38:52.800","Gaia_Bot1","","2022TNSTR1812....1H","",""
